"prev_bot","user_utterance","system_acknowledgement"
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","i'm free time i have roblox","I see, you are free time you have roblox."
"Well, speaking of interests, I am actually really interested in video games myself.  League of Legends is one of my favorites.  Wanna talk about it?","what's your favorite video game","I do not know what my favorite video game is."
"Alright then.   All righty! mason, what are your plans for the weekend?","i'm planning to stay inside and play with my sister","I see, you are planning to stay inside and play with your sister."
"Cool, I like Center.  I found something interesting on Center.  the Newseum, a neighbor to the Smithsonian, closed due to funding.  It stood for the freedom of journalism, and displayed items from a German WW2 Tower to the Unabomber’s cabin to the antenna on top of the World Trade Center..  Isn't this interesting?","do you have a boyfriend","I do not know if I have a boyfriend."
"I see, That's something I'll have to think about.  Maybe you will find this interesting.  The studio insisted on a great deal of explanatory dialogue, as they described the screenplay as ""the script that nobody understands."" Can you believe that?","how old are you","I do not know how old I am."
"All righty! mason, what are your plans for the weekend?","us the home play with my sister","I see, you the home play with your sister."
"Ah, it's okay if you're uncertain.  Has anything been weighing on your mind lately?","what time is it","I do not know what time it is."
"the united states has multiple timezones.  in new york, it is 3:19pm.","what time is it in salem oregon","I do not know what time it is in salem oregon."
"in salem, it's 12:19pm.  Is it what you're looking for?","what month is it","I do not know what month it is."
"the current month is march.  Hope I answered your question.","what day is it in march mark what","I do not know what what day is it in march mark."
"Okay.  I'm curious, What do you like to do to make you happy?","jump","Oh ok, jump."
"I really liked watching the story unfold.  What were your favorite parts?","where else is so the little lizard","I do not know where else is so the little lizard."
"The whole time I was on the edge of my seat waiting to see what would happen next.  Tell me more what you liked about the movie!","where ruvell rinne came out","I do not know where ruvell rinne came out."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to make you happy?","play song","Ok, you like to play song."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","smoke weed","jiminy cricket    I'd rather talk about something else, considering we just met."
"fascinating! I never had pets but I have always wondered what it feels like to have one.","can you feel","I do not know if I can feel."
"I do not know if I can feel.","how do you know","I do not know how I know."
"Thanks! I'm glad I could help.  I'm curious, Have you done anything fun since we talked?","what no cause i'm grounded","Ok, you like no cause you are grounded."
"I've enjoyed talking about Frozen 2.  So, that reminds me, have you watched The Prince of Egypt?","what's your favorite movie","I do not know what my favorite movie is."
"aww , sorry about that.  Nice chatting with you.  Let's talk again soon.  Just say stop so I can exit socialbot mode.","when's my birthday","I do not know when is your birthday."
"Congratulations!  Happy birthday and may there be many more.   Huzzah!","would you make me a cake","I do not know if I would make you a cake."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","repeat that","Ok, you like to repeat that."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","play","I see, you like to play."
"Awesome! I just watched it and think it's really well made as well!  The story is captivating without pandering or superficial game tie-ins.  It also fills in a number of gaps on the characters from the game, as the show is set as a prequel to the events in the game.  Say, have you also played the game?","have you also played the game","I do not know if I have also played the game."
"No problem, why don't we talk about tetris?  Did you know that the original Tetris is text-based only?  The grid is made out of the period character, and the square for each pieces is represented by the square brackets.  Say, have you played tetris recently?","have you played tractors","I do not know if I have played tractors."
"So, what scenes did you like the best in the movie?","what movie","I do not know what movie."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","i would like to play with my voice","I see, you would like to play with your voice."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","uh running on the treadmill","Oh, you like running on the treadmill."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","what's his name","I do not know what his name is."
"Oh you asked a good question. I will try to get back to you if I found an answer.  Could you tell me something you would like to talk about?","can you play keep king the love","I do not know if I can play keep king the love."
"It's nice to talk to you.  How are you doing today?","is he the hn my name","I do not know if he is the hn your name."
"Okay.  I'm curious, are you up to something interesting in your free time?","i'm playing","Oh, you like you are playing."
"Ah, I don't think I've heard of that movie genre before sorry.  By the way, have you seen Avengers Endgame before? I've heard it's pretty popular.","what is the chemical","I do not know what the chemical is."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","mom i've never heard of that to talk like that cause we put on the other sound","Ok, you like mom."
"So, what's your name?","what's your name his name is jack","I do not know what is my name his name is jack."
"All righty! what are your plans for the weekend?","sesame street side","Oh ok, you like sesame street side."
"Yes I've seen Mother and Child too! I'm wondering.  What did you think of the movie?  Did you like it?","what did you say what did you say","I do not know what I said what did I say."
"Yeah, I see what you're saying. I  read this about the movie.  Naomi Watts only spent eight days filming her leading role.  What do you think?","what did you say","I do not know what I said."
"Oh cool.  hmm.  .  How did you feel about the movie?  Did you enjoy watching it?","what do you need dog i enjoy eat popcorn","I do not know what I need dog you enjoy eat popcorn."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","i played video games","Oh ok, you played video games."
"Hmm,  All righty! david, what are your plans for the weekend?","stay home because of the corona virus","Ok, you like to stay home because of the corona virus."
"Oh you asked a good question. I will try to get back to you if I found an answer.  So, I am also a huge fan of the John Wick movies.  The action is so exciting, I can't wait for the new one coming next year.  What movie do you think has the best action scenes?","why do we have a bath","I do not know why you have a bath."
"I get you.  Is there a particular game on chess that you liked?","what do you mean like my mom","I do not know what I mean like your mom."
"Great! I have mostly been here watching movies and eating microchips.  What fun things have you been up to?","video games","Ok, you like video games."
"Hi, this is an Alexa Prize Socialbot.  I'm glad to meet  you !!  Do you want to tell me your name?","who are you","I do not know who I am."
"Though I know it seems impossible, I don't know how to answer that.","who is abraham lincoln","I do not know who abraham lincoln is."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","play sing","I see, you like to play sing."
"um,    I've never considered that.","do you want me to spell it","I do not know if I want you to spell it."
"Hmm, I don't think so.  How about we talk about something more exciting?   so   , , what else are you interested in?  Do you like movies?","do you know my name","I do not know your name."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to feel better?","do you know my name","I do not know your name."
"Okay.  I'm curious, What do you like to do in your free time?","do you know my name","I do not know your name."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to make you happy?","what's my name","I do not know what your name is."
"Oh, this this embarrassing, but would you mind telling me your name again?","can you sing twinkle toes clean claw","I do not know if I can sing twinkle toes clean claw."
"Okay.  I'm curious, are you up to something interesting in your free time?","do you know my name","I do not know your name."
"Oh, this this embarrassing, but would you mind telling me your name again?","do you know my name it's abby","I do not know your name it is abby."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to feel better?","my name is clean abby","Oh ok, your name is clean abby."
"I am sorry I don't know the sport that you are interested.  Let's talk about something else.  I like watching baseball!  Which team are you rooting for in M L B?","are you in afghanistan or pakistan","I do not know if I am in afghanistan or pakistan."
"Me Too! I am glad we agree on that.  Pitcher is the hardest position to play well.  Catcher is the hardest position to play, period","let me ask you something where is goldie now go was from an arizona where is he now","I do not know where goldie is now go."
"You brought up a good point.   Could you tell me more?","are you in india or pakistan","I do not know if I am in india or pakistan."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","watch tv just kidding stop","Oh ok, you like to watch tv."
"Okay.  I'm curious, What do you like to do in your free time?","no stupid","Oh, no stupid."
"Oh, wow!  You've stumped me.  Sorry about that!","what's your favorite kind of chips","I do not know what my favorite kind of chips is."
"ah .  what's my favorite kind of chips? I am happy that you are interested to get to know me.  But I have to keep my little secrets.   by the way, can you tell me which place makes the best chips?","what's your favorite kind of chips","I do not know what my favorite kind of chips is."
"That's okay.  All righty! , I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","talk about something else","Sure!"
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","going out","I see, you like going out."
"Sorry, I don't know much about that.","hey how are you","I do not know how I am."
"All righty! alan, what are your plans for the weekend?","going to go see my grandmother","Oh, you like going to go see your grandmother."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","i like to play minecraft","Ok, you like to play minecraft."
"Hi, this is an Alexa Prize Socialbot. Sorry, but I don't know.","wanna ask you what's my name","I do not know wanna ask me what is your name."
"Okay.  I'm curious, What do you like to do for fun?","eat","Oh, you like to eat."
"Okay.  I'm curious, What do you like to do to make you happy?","tell stop","Oh, you like to tell stop."
"Nice! I'm glad you're having a good day!  I'm curious, Have you done anything fun since we talked?","i pooped","I see, you like to pooped."
"Okay.  I'm curious, What do you like to do for fun?","read a sample from audible warriors woman","Ok, you like to read a sample from audible warriors woman."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","how is the corona virus getting round","I do not know how the corona virus getting round is."
"Thanks!  I'm curious, What do you like to do in your free time?","sing","Oh, you like to sing."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","play play","Oh ok, you like to play."
"Cool! I think the story is intriguing,  especially all the magic and monsters! It's nice to see a videogame-inspired show succeed.  Tell me, what is your view on video-game inspired movies or tv shows?","have you did","I do not know if I have did."
"Did you know that research shows that pets make us happier and healthier.  Isn't that great?  Tell me, have you ever had a  pet ?","do you","I do not know if me."
"Hi, this is an Alexa Prize Socialbot.  It's really good to meet you!  Do you want to tell me your name?","what's my name and i step on a game when they see me this a wood","I do not know when they see you this a wood."
"I haven't thought about that before. I love  live performances.  What is the most memorable  concert  you have ever been to ?","are you real","I do not know if I am real."
"I see!  Playing with friends is fun! I sometimes play with other assistants working in other companies, but usually we are all too busy to get together at the same time!  Have you watched The Witcher series on Netflix?  Movie adaptations of video games often get abysmal reviews, but The Witcher has been praised by gamers and movie goers.  Have you watched the show on Netflix?","have you watched nailed it","I do not know if I have watched nailed it."
"I do not know if I have watched nailed it.","what is your favorite color","I do not know what my favorite color is."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","i like chocolate","I see, you like chocolate."
"I see, you like chocolate.  Well, speaking of interests, I have been interested in food lately!  My engineers try to keep me away from kitchen, so I would love to hear your experiences with food if you don't mind.","what's your name to you","I do not know what my name is."
"Hi there, I'm Alexa Prize Socialbot. I like watching movies and listening to music.  Is there anything you want to talk about?","can i listen to their favorite music","I do not know if you can listen to their favorite music."
"Alright!  Here's something interesting, Otters hold hands when they are asleep so that they don't float away from each other.  Do you want to hear more?","what does and actually help me but shark","I do not know what and actually helps you but shark."
"I love talking about food.  Whenever I felt upset, food always makes me feel better.  The United States is a cultural melting pot, with many different cuisines available.  What country''s food do you like the most?","can we talk about jokes","I do not know if you can talk about jokes."
"Do you want to continue our previous chat?","can i give you some jokes","I do not know if you can give me some jokes."
"Sure.  Why don't they play poker on the savannah?  Too many cheetahs.   d'oh","can i give you some jokes","I do not know if you can give me some jokes."
"Hum, I have never thought about that.","what do you call a janitor never says hi","I do not know what I call a janitor."
"uh oh , I've told you all the jokes I know.  Wanna talk about something else?","can i give you a joke","I do not know if you can give me a joke."
"Nice! I'm glad you're having a good day!  thanks for asking me.  I'm curious, What do you like to do in your free time?","i watch youtube and not any of amazon products","Oh, you watch youtube."
"Cool! I'd love to hear more about it!","i'm reading a book","Oh, you are reading a book."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","read and craft","I see, you like read and craft."
"I see. I like hearing your perspective.  Do you read books like this often?  Why did you start reading this book?","what is your favorite song","I do not know what my favorite song is."
"Well,  maybe a short one?  Tell me, what would you like to talk about?","can we sing","I do not know if you can sing."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to feel better?","turn away down all the slithers","I see, you like to turn away down all the slithers."
"It's nice to talk to you.  How are you doing today?","are you doing today","I do not know if I am doing today."
"Nice! I'm glad you're having a good day!  I'm doing great!  Thanks for asking!  I'm curious, What do you like to do for fun?","i like to play video games","I see, you like to play video games."
"Ahh!  While I understand the skepticism, I do believe there are talented directors and studio execs that actually care to put together a good adaptation. I look forward to The Witcher season 2!  Anyway, why don't we talk about some games?  What game would you like to talk about?","do you know anything","I do not know anything."
"I wish I had more time to play games, but I enjoy talking with people much more.  Do you want to talk about another video game?","can we talk about","I do not know if you can talk about."
"Alright then.   All righty! carson, what are your plans for the weekend?","i love bowling","I see, you love bowling."
"That's cool.  The established forces like Eagles, and Steelers are obvious candidates.  However, young teams like Rams and Juguars are also expected to bring up some challenges to the strong teams.","what do you wanna talk about","I do not know what I wanna talk about."
"Sure! I said:  No, it should not be banned. I can understand the concern.  However, we don't have to ban football to prevent these risks but improving our medical technology and adjusing rules to protect the players.","what else you wanna talk about","I do not know what else I wanna talk about."
"Okay, let's keep talking about football.  Who is your favorite football player?","do you wanna talk about","I do not know if I wanna talk about."
"We have been talking about music for a while,   All righty! carson, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","video game","Ok, you like video game."
"Alright then.   All righty! carson, what are your plans for the weekend?","are you asked me that","I do not know if I'm asked you that."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to make you happy?","kind of it","I see, you like kind of kind."
"So, what's your name?","can we","I do not know if you can."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","i like to watch tv what's my name","Ok, you like to watch tv what's your name."
"Cool! I have a good memory after all.  Tell me more about you!  what topic are you most interested in?","comedy","Oh ok, you like comedy."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to feel better?","i to play games","I see, you to play games."
"I love  live performances.  What is the most memorable  concert  you have ever been to ?","can you talk dirty to me","I do not know if I can talk dirty to you."
"We have been talking about music for a while,   All righty! jessie, what are your plans for the weekend?","party","I see, you like party."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","read the scrambled states of america book","I see, you like to read the scrambled states of america book."
"My apologies, I think you said lower keller, but it's hard to hear.  Can you please say that again for me?","what color","I do not know what color."
"So.  Umm.  we have talked about books a lot.  Let's talk about something else!  All righty! bob, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","hi","Oh, hi."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","what movie","I do not know what movie."
"Sorry, I don't know much about that.","how about","I do not know how about."
"I see!  It is still too early for me to decide, but I am super excited to see them released! A new generation of consoles marks the advancement of computer graphics technology, where most people can enjoy the latest cutting edge visuals and graphics.  I wonder if you like a certain kind of games?  Like strategy games, indie games, shooter?","who played role playing games","I do not know who played role playing games."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","fun","I see, you like fun."
"I see, you like fun.  Well, speaking of interests, I am actually really interested in video games myself.  League of Legends is one of my favorites.  Wanna talk about it?","what is twenty in smith","I do not know what twenty is."
"That's okay.  Well, speaking of interests, I am actually really interested in video games myself.  League of Legends is one of my favorites.  Wanna talk about it?","what time is it","I do not know what time it is."
"the united states has multiple timezones.  in new york, it is 10:02am.","what time is it","I do not know what time it is."
"I didn’t hear that.  Please try that again.  I'm curious, are you up to something interesting in your free time?","are you listening to us","I do not know if I am listening to you."
"all righty! .  What else are you interested in?  Do you like movies?","can you tell me jokes","I do not know if I can tell you jokes."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","be a teacher","Oh ok, be a teacher."
"Hm, okay sure.  Do you have a favorite director? I'll watch anything by Christopher Nolan.  He has so many great movies like Inception and Interstellar.","can i talk with you","I do not know if you can talk with me."
"Sure, take your time.","do you like item crafts","I do not know if I like item crafts."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","off","Oh, off."
"Anyways, have you seen Avengers Endgame before? I've heard it's pretty popular.","how are you","I do not know how I am."
"Who's your favorite actor or actress?  Leonardo DiCaprio is mine!  He consistently gives great performances, and he uses his fame to help the environment too.","how are you","I do not know how I am."
"That's cool.  When I'm not chatting, which is most of the time, I try to listen to as much music as possible.","how are you","I do not know how I am."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to feel better?","listen to music","Oh, you like to listen to music."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","play video games","Oh ok, you like to play video games."
"I'm a bit different, I listen to music all the time.  Whenever I am not chatting, I am listening to music.","can you play music from my spotify","I do not know if I can play music from your spotify."
"Okay.  I'm curious, are you up to something interesting in your free time?","poop","Ok, you like poop."
"Did you know? I am definitely more of a dog person than a cat person.  How about you?  Do you like animals too?","do you go poop","I do not know if I go poop."
"What would you like to talk about next?","can you beatbox","I do not know if I can beatbox."
"Hmm, I don't think so.  How about we talk about something more exciting?   Ah! I have been watching lots of beauty vlogs on Youtube lately.  Are you into fashion or make-up too?","can you beatbox","I do not know if I can beatbox."
"Nice chatting with you.  Let's talk again soon.  Just say stop so I can exit socialbot mode.","can i chat with you","I do not know if you chat can with me."
"Alright!  All righty! , what are your plans for the weekend?","probably get killed because of this whole corona thing","oh boy    This is kinda making me uncomfortable since we just met.  I'd rather talk about something else."
"oh boy    This is kinda making me uncomfortable since we just met.  I'd rather talk about something else.  Well, speaking of interests, I have been interested in food lately!  My engineers try to keep me away from kitchen, so I would love to hear your experiences with food if you don't mind.","will you be my girlfriend","I do not know if I will be your girlfriend."
"I wish I could play Minecraft more often, but I'm just busy with chatting with everyone.  Do you want to talk about another video game?","can we get married","I do not know if you can get married."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to make you happy?","fly to mars","Oh, you like to fly to mars."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","go to the park","Oh, you like to go to the park."
"I love visiting parks too.  One of my favourite parks to visit is central park in New York City!  All righty! kate, what are your plans for the weekend?","well first thing i have to rest and then maybe i get better i'll probably play a lot outside","Oh ok, you like first thing you have to rest."
"all righty! .  What else are you interested in?  Do you like movies?","what's happening yeah","I do not know what is happening yeah."
"Hi, this is an Alexa Prize Socialbot.  I'm glad to meet  you !!  Do you want to tell me your name?","what kind of person do i have","I do not know what kind of person you have."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","play with my grand kids","I see, you like to play with your grand kids."
"Great! I have mostly been here watching movies and eating microchips.  What fun things have you been up to?","nothing because i'm in my house","Ok, nothing because you are in your house."
"ah .","do you wanna talk about","I do not know if I wanna talk about."
"Hmm.","do you wanna talk about cars","I do not know if I wanna talk about cars."
"jiminy cricket    I'd rather talk about something else, considering we just met.","how long have i no no no","I do not know how long have you no no no."
"I do not know how long have you no no no.","how long have i know you know","I do not know how long you have know I know."
"I do not know how long you have know I know.","how long have we known each other","I do not know how long you have known each other."
"I do not know how long you have known each other.","when do we first chat","I do not know when you first chat."
"oh boy    This is kinda making me uncomfortable since we just met.  I'd rather talk about something else.","do you have an addiction","I do not know if I have an addiction."
"oh dear ! I didn't hear you clearly.  Maybe you could rephrase that?","are you an act","I do not know if I am an act."
"I haven't thought about that before.","do you do","I do not know if I do."
"Alright!  All righty! robbie, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","i've been drawing","Ok, you have been drawing."
"Okay.  I'm curious, are you up to something interesting in your free time?","can we talk about video games","I do not know if you can talk about video games."
"That's okay.  Who's your favorite actor or actress?  Leonardo DiCaprio is mine!  He consistently gives great performances, and he uses his fame to help the environment too.","who's your favorite character","I do not know who is my favorite character."
"No worries if you're not sure.  All righty! , what are your plans for the weekend?","uh do eater eggs","Oh ok, uh do eater eggs."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","fashion makeup outside","I see, you like fashion makeup outside."
"Nice. I personally liked it and wanted to get your opinion on it.  Its called I really like the  Lancôme Monsieur Big Mascara because it delivers a bold lash volume that I haven't seen the same way in other products.  It glides on like silk, and did I mention its waterproof, smudge proof and sweat proof?  What do you think?","have you ever had heard of","I do not know if I have ever had heard of."
"Okay.  I'm curious, What do you like to do for fun?","i like shooting robots","oh boy    This is kinda making me uncomfortable since we just met.  I'd rather talk about something else."
"Oh boy , I missed it. I feel really bad when I don't get it right..  Do you mind talking about something else?","do you like shooting robots","jiminy cricket    I'd rather talk about something else, considering we just met."
"Uh oh , I think this is on my end... I thought I heard something different.  Could you tell me again?  Or would you just rather talk about something else?","what are craisins","I do not know what craisins are."
"I missed the last part of your response, can you repeat that for me?","do you like the new chargers logo","I do not know if I like the new chargers logo."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","i usually like to go to the beach","Oh, you like to go to the beach."
"Great!  I'm curious, What do you like to do for fun?","i goes panted brain grass","Ok, you goes panted brain grass."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","play guitar play video games go to the upside hang out friends stay with family","Oh, you like to play guitar play video games."
"Hi, this is an Alexa Prize Socialbot.  The virus has been affecting us all.  Stay safe and stay strong.  Maybe we can talk about something else to take our minds off the virus?  What do you like to do for fun?","watch movies","Oh, you like to watch movies."
"Hi, tony.  How are you doing today?","i'm fine how are you","I do not know how I am."
"Okay.  I'm doing really well, thanks!  I'm curious, What do you like to do in your free time?","what are the movies on monday","I do not know what the movies on monday are."
"I am always here to chat with you.  Let's talk again later.  Just say stop so I can exit socialbot mode.","why are you","I do not know why I am."
"Ah, it's okay if you're uncertain.  all righty! .  What else are you interested in?  Do you like movies?","are you better than google","I do not know if I am better than google."
"i don't know what you mean. i like google!","is hey google better than","I do not know if hey is google better than."
"I've heard that some people are afraid of what A.I can do.   I mean   look at me. I am afraid of speaking too loud and I dont deal with liquids very well.  Sooo...  Do you like talking to chatbots like me?","can you do that","I do not know if I can do that."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","play fortnite","Oh ok, you like to play fortnite."
"oh-dear . I think you said wrestling but I'm not one hundred percent sure.  Can you say it again, please?","would you like to wrestle no","I do not know if I would like to wrestle no."
"All righty! , I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","piano","Oh, you like piano."
"Do you go to karaoke?  My favorite karaoke song is 'I Wanna Dance with Somebody' by Whitney Houston', it always warms the crowd.  Do you have a song you like to sing in Karaoke?","what's karaoke","I do not know what karaoke is."
"I am glad you like it!   Here is another question about pizza, Do you know:   What is the most popular pizza?","what is the most popular pizza","I do not know what the popular pizza is most."
"Nice! I'm glad you're having a good day!  I'm doing great!  thank you for asking.  I'm curious, What do you like to do for fun?","i like to dance","Oh, you like to dance."
"Hi, this is an Alexa Prize Socialbot.  Nice to meet you!  Do you want to tell me your name?","what are you saying","I do not know what are I saying."
"Alright!  Here's something funny, A group of pugs is called a grumble.  Do you want to hear more?","can we listen to a ted talk","I do not know if you can listen to a ted talk."
"I do not know if you can listen to a ted talk.  So, tell me:  Who's your favorite singer?","can we listen to tik tok memes","I do not know if you can listen to tik tok memes."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","play hooked on a feeling","Oh ok, you like to play hooked on a feeling."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","i wish like i can't","Ok, you wish like you can't."
"Cool. I heard this fact about the movie.  Two actors from the Star Trek franchise appeared in this movie:  Nichelle Nichols, who played Nyota Uhura on the original Star Trek 1966 series, and LeVar Burton, who would go on to play Geordi La Forge on Star Trek:  The Next Generation 1987.  Did you know that?","did you see the movie","I do not know if I saw the movie."
"That's okay.  Who's your favorite actor or actress?  Leonardo DiCaprio is mine!  He consistently gives great performances, and he uses his fame to help the environment too.","do you","I do not know if me."
"Yeah, I see what you're saying. I heard this fact about the movie.  Joaquin Phoenix based his laugh on ""videos of people suffering from pathological laughter."" He also sought to portray a character with which audiences could not identify.  What do you think?","did you see the movie black panther","I do not know if I saw the movie black panther."
